date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-01-01,101,31,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-01-02,83,23,16,"Ozone,PM2.5",PM2.5,Reseda
2016-01-03,100,23,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-01-04,68,27,16,"Ozone,PM2.5",PM2.5,Reseda
2016-01-05,58,22,16,"Ozone,PM2.5",PM2.5,Reseda
2016-01-06,66,22,15,"Ozone,PM2.5",PM2.5,Reseda
2016-01-07,62,28,15,"Ozone,PM2.5",PM2.5,Reseda
2016-01-08,64,22,15,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-01-09,78,22,15,"Ozone,PM2.5",PM2.5,Reseda
2016-01-10,78,26,15,"Ozone,PM2.5",PM2.5,Reseda
2016-01-11,76,22,15,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-01-12,65,20,14,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-01-13,75,32,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-01-14,78,22,15,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-01-15,74,22,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-01-16,83,29,17,"Ozone,PM2.5",PM2.5,Reseda
2016-01-17,100,22,15,"Ozone,PM2.5",PM2.5,Long Beach (South)
2016-01-18,75,24,16,"Ozone,PM2.5",PM2.5,Glendora
2016-01-19,69,32,16,"Ozone,PM2.5",PM2.5,Glendora
2016-01-20,76,23,16,"Ozone,PM2.5",PM2.5,Reseda
2016-01-21,59,24,16,"Ozone,PM2.5",PM2.5,Long Beach (South)
2016-01-22,71,27,16,"Ozone,PM2.5",PM2.5,Long Beach (South)
2016-01-23,70,23,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-01-24,67,24,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-01-25,65,33,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-01-26,69,24,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-01-27,62,23,15,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-01-28,75,30,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-01-29,76,23,15,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-01-30,70,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-01-31,40,31,17,"Ozone,PM2.5",Ozone,LAX Hastings
2016-02-01,38,24,16,"Ozone,PM2.5",Ozone,Azusa
2016-02-02,54,20,15,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-03,57,30,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-04,63,23,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-05,66,22,15,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-06,60,33,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-07,69,24,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-08,80,24,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-09,56,29,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-10,72,23,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-11,86,23,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-12,91,31,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-13,113,24,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-02-14,96,23,15,"Ozone,PM2.5",PM2.5,Long Beach (South)
2016-02-15,81,29,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-16,64,22,15,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-17,60,23,15,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-02-18,49,33,17,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-02-19,61,24,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-02-20,65,24,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-21,77,30,17,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-02-22,73,24,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-02-23,70,23,15,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-24,53,33,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-02-25,67,24,16,"Ozone,PM2.5",Ozone,Reseda
2016-02-26,74,24,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-02-27,90,30,17,"Ozone,PM2.5",Ozone,Glendora
2016-02-28,115,24,16,"Ozone,PM2.5",Ozone,Glendora
2016-02-29,109,23,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-03-01,134,30,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-03-02,124,22,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-03-03,87,22,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-03-04,86,29,17,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-03-05,67,23,16,"Ozone,PM2.5",PM2.5,Glendora
2016-03-06,54,23,16,"Ozone,PM2.5",PM2.5,Reseda
2016-03-07,44,31,16,"Ozone,PM2.5",Ozone,LAX Hastings
2016-03-08,53,22,14,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-03-09,58,21,13,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-03-10,66,29,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-03-11,54,23,15,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-03-12,56,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-03-13,59,32,16,"Ozone,PM2.5",PM2.5,Reseda
2016-03-14,52,23,16,"Ozone,PM2.5",PM2.5,Reseda
2016-03-15,59,23,16,"Ozone,PM2.5",PM2.5,Reseda
2016-03-16,77,28,16,"Ozone,PM2.5",Ozone,LAX Hastings
2016-03-17,100,24,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-03-18,88,24,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-03-19,101,32,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-03-20,113,23,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-03-21,83,23,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-03-22,61,29,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-03-23,57,22,15,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-03-24,66,24,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-03-25,58,31,17,"Ozone,PM2.5",Ozone,Pomona
2016-03-26,87,23,16,"Ozone,PM2.5",Ozone,Azusa
2016-03-27,108,22,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-03-28,64,28,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-03-29,54,20,15,"Ozone,PM2.5",PM2.5,Reseda
2016-03-30,58,23,16,"Ozone,PM2.5",PM2.5,Reseda
2016-03-31,56,33,17,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-04-01,68,23,15,"Ozone,PM2.5",PM2.5,Reseda
2016-04-02,101,24,16,"Ozone,PM2.5",Ozone,Azusa
2016-04-03,87,30,17,"Ozone,PM2.5",Ozone,Azusa
2016-04-04,64,24,16,"Ozone,PM2.5",Ozone,Reseda
2016-04-05,105,23,15,"Ozone,PM2.5",Ozone,Glendora
2016-04-06,74,32,17,"Ozone,PM2.5",Ozone,Reseda
2016-04-07,71,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-04-08,71,21,14,"Ozone,PM2.5",PM2.5,Glendora
2016-04-09,59,27,16,"Ozone,PM2.5",PM2.5,Reseda
2016-04-10,56,24,16,"Ozone,PM2.5",PM2.5,Reseda
