date,aqi_co,aqi_no2,aqi_ozone,aqi_pm25,aqi_so2
2016-01-01,9.0,42.0,40.0,101.0,6.0
2016-01-02,24.0,42.0,37.0,83.0,4.0
2016-01-03,34.0,41.0,40.0,100.0,3.0
2016-01-04,13.0,48.0,38.0,68.0,1.0
2016-01-05,13.0,40.0,40.0,58.0,3.0
2016-01-06,13.0,42.0,43.0,66.0,1.0
2016-01-07,10.0,45.0,41.0,62.0,3.0
2016-01-08,13.0,40.0,40.0,64.0,4.0
2016-01-09,24.0,35.0,33.0,78.0,1.0
2016-01-10,10.0,29.0,37.0,78.0,0.0
2016-01-11,20.0,53.0,37.0,76.0,1.0
2016-01-12,22.0,52.0,35.0,65.0,1.0
2016-01-13,28.0,58.0,36.0,75.0,4.0
2016-01-14,22.0,41.0,39.0,78.0,1.0
2016-01-15,18.0,35.0,41.0,74.0,1.0
2016-01-16,14.0,32.0,37.0,83.0,3.0
2016-01-17,22.0,37.0,35.0,100.0,3.0
2016-01-18,11.0,31.0,33.0,75.0,1.0
2016-01-19,14.0,38.0,27.0,69.0,0.0
2016-01-20,9.0,38.0,29.0,76.0,1.0
2016-01-21,15.0,45.0,33.0,59.0,3.0
2016-01-22,22.0,50.0,25.0,71.0,1.0
2016-01-23,16.0,38.0,39.0,70.0,1.0
2016-01-24,20.0,33.0,41.0,67.0,3.0
2016-01-25,20.0,53.0,39.0,65.0,1.0
2016-01-26,27.0,68.0,42.0,69.0,7.0
2016-01-27,22.0,62.0,33.0,62.0,4.0
2016-01-28,26.0,61.0,39.0,75.0,7.0
2016-01-29,28.0,52.0,37.0,76.0,6.0
2016-01-30,17.0,32.0,36.0,70.0,0.0
2016-01-31,6.0,18.0,40.0,39.0,1.0
2016-02-01,10.0,47.0,38.0,31.0,0.0
2016-02-02,15.0,52.0,37.0,54.0,3.0
2016-02-03,15.0,56.0,38.0,57.0,4.0
2016-02-04,18.0,53.0,40.0,63.0,1.0
2016-02-05,26.0,66.0,42.0,66.0,1.0
2016-02-06,28.0,53.0,43.0,60.0,1.0
2016-02-07,30.0,55.0,48.0,69.0,4.0
2016-02-08,44.0,87.0,44.0,80.0,4.0
2016-02-09,24.0,62.0,40.0,56.0,3.0
2016-02-10,23.0,68.0,38.0,72.0,11.0
2016-02-11,33.0,77.0,41.0,86.0,14.0
