date,pblh_mean,pblh_min,pblh_max,pblh_night,pblh_range,t850_mean,slp_mean,tqv_mean,inversion_strength,inversion_strength_max,ventilation_index,ventilation_index_min,t850_max
2016-01-01,683.1507,369.1288,1290.0249,805.143,920.8961,2.6208088,1019.5322,5.9920425,-5.181898860202026,-10.06228590234375,2955.958629934912,1597.2017771028075,4.024475
2016-01-02,398.55966,148.7172,1026.8901,529.2132,878.173,6.589863,1018.20245,8.46762,-2.989520176513672,-7.918639792968751,1194.9943398085509,445.8961144153747,7.965637
2016-01-03,462.952,174.53629,1162.3325,563.6725,987.79626,6.826126,1015.71875,13.018421,-3.307155901367187,-7.0558171171875,1533.8094055229126,578.2573540067749,7.755005
2016-01-04,639.3653,324.50778,1278.3965,687.4322,953.8887,5.291673,1009.5288,19.362478,-5.864976816558839,-8.6594237265625,2456.670741360754,1246.8752668670836,6.1966553
2016-01-05,692.3755,239.89255,1113.0834,911.7803,873.1908,5.214868,1010.40265,20.033081,-6.042309931304931,-6.69317625390625,3072.725236428467,1064.6302440519319,6.3910522
2016-01-06,573.68506,419.1801,937.2335,630.5549,518.0534,2.7985115,1012.92535,14.1202135,-6.406092494873047,-8.0989079375,3082.573320065918,2252.374222863464,3.836914
2016-01-07,840.7202,576.4114,1306.0052,917.16016,729.5939,1.3158976,1012.4868,13.745975,-7.768427416038513,-8.15319790625,4299.280919709473,2947.6565343425295,2.520996
2016-01-08,695.3359,377.1843,1562.2491,837.3135,1185.0648,1.8427607,1015.2961,9.086162,-6.1212843178939815,-10.31750450390625,2558.8813612897707,1388.0628004238893,3.2074585
2016-01-09,561.4737,265.14413,1138.9276,595.01587,873.78345,2.994873,1020.6377,12.887258,-5.792637953125,-9.580139423828125,968.1346604275818,457.1812169511383,3.5365906
2016-01-10,831.85455,333.49835,1326.4213,1132.6792,992.9229,3.6886241,1021.25977,18.104918,-6.340442856399536,-9.54562376953125,1458.9726478788757,584.9159229456482,4.549011
2016-01-11,592.99756,127.61586,1393.5496,810.1635,1265.9337,4.3454247,1023.9963,12.76208,-5.676636347900391,-10.145629791015624,1299.763774295166,279.7152693644028,5.365814
2016-01-12,241.82788,69.18349,887.9685,332.56915,818.78503,7.8238983,1023.0638,4.2621427,-2.173709684570312,-7.118560701171877,742.4240241913575,212.3968609323517,10.508331
2016-01-13,282.87085,98.59616,952.0904,378.12512,853.49426,9.638489,1020.1423,6.789621,-1.6972152304687498,-5.839080009765624,636.7849393948242,221.9548264614624,10.51474
2016-01-14,374.24277,148.13753,987.85675,429.34793,839.71924,9.019299,1017.9416,9.394103,-1.3944154465332037,-5.991302265624999,842.5889907869293,333.5242806541794,10.091553
2016-01-15,484.60654,181.63425,923.43414,436.56622,741.7999,7.8047233,1016.6956,13.826324,-2.577527737213135,-4.630127251953125,1157.336846735016,433.77872663601687,9.892792
2016-01-16,328.52478,137.30432,1005.5827,420.27283,868.2784,8.305987,1019.4507,18.532578,-2.649257641906738,-6.882202675781251,579.938585498352,242.38072331990966,9.820007
2016-01-17,296.89645,77.05642,1018.63605,367.7176,941.57965,10.618373,1019.9006,15.340405,-1.7451290828247075,-7.067198916015624,581.037315678122,150.80225609397203,11.395111
2016-01-18,308.20584,64.97698,976.5855,385.47733,911.6085,9.007741,1019.9831,15.953601,-3.4973620255737305,-3.804291060546875,575.4426501908112,121.3167364430809,11.407013
2016-01-19,334.71304,104.00524,783.64087,405.38303,679.6356,8.818566,1020.751,18.70135,-2.91790667767334,-4.998565267578124,696.3001297227356,216.36104281856538,10.113251
2016-01-20,748.3857,398.9815,1193.5177,702.1052,794.5362,8.915474,1020.9878,15.615962,-4.019188062011718,-5.93774403515625,1213.1510007271606,646.7585175494019,11.499939
2016-01-21,325.46274,90.98033,1108.887,415.9327,1017.9066,11.969073,1020.792,8.648507,-0.6257377044067383,-6.8750305761718735,1138.4346467976836,318.2396918656692,13.010284
2016-01-22,298.50192,119.84164,927.9004,366.62698,808.0588,11.518524,1019.3003,10.250991,-1.4416168300781251,-6.7265317949218755,675.1652005407532,271.0632546027237,12.112335
2016-01-23,255.92249,63.35357,948.4488,343.46814,885.0952,9.373525,1016.2649,15.088249,-3.4274613341674804,-2.8608704707031247,498.35102259473877,123.36671343330917,11.838593
2016-01-24,519.9612,135.97668,1340.5144,633.1252,1204.5377,5.2290215,1016.94293,8.345658,-5.102558450775147,-9.466735623046874,1895.6706803087645,495.7428039766479,6.4841614
2016-01-25,472.65796,80.11284,1715.6975,645.4084,1635.5847,7.3365707,1018.65546,9.748752,-3.933213260253906,-9.603393404296874,1660.486735054297,281.44306789978026,8.475861
2016-01-26,436.14835,63.253376,1310.2065,532.8619,1246.9531,7.612456,1022.16156,5.4527783,-4.12502815512085,-9.538298808593751,1591.4377113679504,230.8017647765541,9.232971
2016-01-27,175.0583,63.398323,694.7983,210.11302,631.39996,10.329338,1023.7657,5.872427,-1.7420649262695314,-6.9734193378906255,463.3583232495117,167.80775333862303,11.113129
2016-01-28,297.67368,63.58416,1109.1837,386.80148,1045.5996,11.788417,1021.3083,7.1913757,-1.8203471375122078,-7.266601999999999,561.3928758330353,119.91552256615982,13.09375
2016-01-29,233.7375,63.05546,811.3147,308.91287,748.2592,14.57747,1017.0364,17.1746,0.5570008257446286,-4.131438759765626,612.9776535719985,165.36323253917502,15.971771
2016-01-30,348.91104,63.249958,1200.7737,473.90363,1137.5237,12.518932,1014.4366,15.861934,-0.40265765747070326,-2.514191041015625,892.8984550344909,161.8630055658653,14.799408
2016-01-31,563.64575,202.97209,1189.6534,610.8476,986.68134,6.274433,1010.3841,17.01845,-5.347586864013671,-4.969146501953125,3503.882962123779,1261.7684979290314,9.5920105
2016-02-01,1059.1328,594.4577,1890.3374,1180.0657,1295.8796,-1.2349586,1012.03595,6.8028297,-8.61703634868164,-9.04772924609375,9801.213987742189,5501.110985742493,1.6870728
2016-02-02,704.4468,236.26984,1863.6088,974.6693,1627.3389,1.8575262,1021.9837,6.2372856,-5.099102116871643,-10.001190302734376,2976.8192802602052,998.4183717444764,3.5819397
2016-02-03,604.93286,187.35295,1543.6726,787.2133,1356.3197,2.0204937,1024.7251,9.988646,-6.141390254196168,-10.44296237890625,1697.4945405120848,525.7287740289688,4.1625366
2016-02-04,381.60153,105.24682,1199.3395,504.80173,1094.0927,5.7336426,1026.2712,8.228075,-4.248722421875,-9.335418318359373,973.7129385204955,268.5528761390106,7.6148987
2016-02-05,389.88358,62.742004,1563.7886,567.48175,1501.0466,8.159179,1026.3931,7.2755446,-3.424751266174317,-10.439422749999999,1682.742697048233,270.7953254354553,9.128906
2016-02-06,392.93015,63.549988,1282.9576,547.8191,1219.4077,10.158604,1025.1843,7.0848346,-2.84934933178711,-8.704650443359377,1428.9137347159424,231.1032927684082,12.144196
2016-02-07,388.50427,63.9185,1238.0048,473.52878,1174.0863,13.165543,1021.12964,7.0090785,-1.4106953974609375,-8.7074587265625,1647.8105683098145,271.1053278355484,14.352905
