date,t2m_mean,t2m_max,t2m_min,t2m_range,qv2m_mean,qv2m_max,u10m_mean,v10m_mean,wind_speed_mean,wind_speed_max,wind_speed_min,wind_dir_mean,calm_hours
2016-01-01,7.8027077,14.086761,4.433899,9.652863,2.9300613,3.288353,-3.5117683,-2.1299531,4.3269496,6.7239656,0.83538973,58.7624,4
2016-01-02,9.579383,15.884277,6.5865173,9.29776,3.4426677,5.0044355,-2.3504384,-0.51081896,2.9982822,4.1932855,0.5859347,77.73862,2
2016-01-03,10.133282,14.810822,7.1108704,7.699951,5.310264,6.765719,-2.3966157,1.754932,3.3131068,6.0914288,1.0752082,126.21361,4
2016-01-04,11.15665,14.856079,8.998993,5.857086,6.437552,7.229472,-3.3365166,0.7261958,3.8423586,5.2337356,1.0652488,102.27897,4
2016-01-05,11.257178,13.0842285,10.060364,3.0238647,7.8119483,8.766274,0.44897154,3.4151528,4.4379463,9.754294,1.0116752,187.48943,9
2016-01-06,9.204604,11.935822,7.217926,4.7178955,6.876637,8.120941,4.3902793,1.7261549,5.373285,9.036048,2.8830616,248.5364,0
2016-01-07,9.084325,10.674194,7.5290833,3.145111,6.3643055,7.234623,4.5135384,1.2063265,5.113807,6.947113,4.0856385,255.0364,0
2016-01-08,7.964045,13.524963,5.2292175,8.295746,5.172918,5.8081427,2.4314566,-2.4586213,3.6800652,4.7378135,2.653392,315.3183,0
2016-01-09,8.787511,13.11673,6.0830383,7.0336914,5.4078946,6.1049714,0.09397545,0.70277566,1.7242743,2.9737158,0.40973923,187.61644,15
2016-01-10,10.029067,14.094635,7.8797913,6.2148438,6.4806304,6.6629033,-0.5343991,0.60569113,1.7538795,2.196741,1.0773948,138.57816,21
2016-01-11,10.022061,15.511444,6.9898376,8.521606,5.7127433,6.6695185,-0.78493905,-1.7955738,2.1918535,3.4723415,1.219641,23.61265,9
2016-01-12,9.997608,17.626892,5.1457825,12.48111,4.039408,5.493941,-1.4724158,-2.2035859,3.0700514,4.877523,1.1212668,33.75048,6
2016-01-13,11.335704,16.35382,8.853516,7.500305,4.61752,7.194999,1.5305818,-0.86733335,2.2511508,5.3342285,1.1209112,299.53888,15
