date,t2m_mean,t2m_max,t2m_min,t2m_range,qv2m_mean,qv2m_max,u10m_mean,v10m_mean,wind_speed_mean,wind_speed_max,wind_speed_min,calm_hours,daily_aqi,dominant_pollutant,wind_dir_sin,wind_dir_cos,doy_sin,doy_cos,is_weekend,t2m_mean_lag1,t2m_mean_lag2,t2m_mean_lag3,t2m_mean_roll3,t2m_max_lag1,t2m_max_lag2,t2m_max_lag3,t2m_max_roll3,qv2m_mean_lag1,qv2m_mean_lag2,qv2m_mean_lag3,qv2m_mean_roll3,wind_speed_mean_lag1,wind_speed_mean_lag2,wind_speed_mean_lag3,wind_speed_mean_roll3,calm_hours_lag1,calm_hours_lag2,calm_hours_lag3,calm_hours_roll3
2016-01-04,11.15665,14.856079,8.998993,5.857086,6.437552,7.229472,-3.3365166,0.7261958,3.8423586,5.2337356,1.0652488,4,68.0,PM2.5,0.9771236998765785,-0.21267175444686104,0.06875540848113941,0.9976335468520451,0,10.133282,9.579383,7.8027077,10.289771666666667,14.810822,15.884277,14.086761,15.183726,5.310264,3.4426677,2.9300613,5.063494566666667,3.3131068,2.9982822,4.3269496,3.384582533333333,4.0,2.0,4.0,3.3333333333333335
2016-01-05,11.257178,13.0842285,10.060364,3.0238647,7.8119483,8.766274,0.44897154,3.4151528,4.4379463,9.754294,1.0116752,9,58.0,PM2.5,-0.13034328696114333,-0.991468924144456,0.08590610426133272,0.9963032375991965,0,11.15665,10.133282,9.579383,10.849036666666668,14.856079,14.810822,15.884277,14.2503765,6.437552,5.310264,3.4426677,6.519921433333334,3.8423586,3.3131068,2.9982822,3.8644705666666663,4.0,4.0,2.0,5.666666666666667
2016-01-06,9.204604,11.935822,7.217926,4.7178955,6.876637,8.120941,4.3902793,1.7261549,5.373285,9.036048,2.8830616,0,66.0,PM2.5,-0.9306502183788892,-0.36591005866377324,0.10303137904317879,0.9946781061893646,0,11.257178,11.15665,10.133282,10.539477333333332,13.0842285,14.856079,14.810822,13.292043166666666,7.8119483,6.437552,5.310264,7.042045766666667,4.4379463,3.8423586,3.3131068,4.551196633333333,9.0,4.0,4.0,4.333333333333333
2016-01-07,9.084325,10.674194,7.5290833,3.145111,6.3643055,7.234623,4.5135384,1.2063265,5.113807,6.947113,4.0856385,0,62.0,PM2.5,-0.9660900590512767,-0.25820534038299964,0.1201261651823505,0.9927586335250793,0,9.204604,11.257178,11.15665,9.848702333333334,11.935822,13.0842285,14.856079,11.898081499999998,6.876637,7.8119483,6.437552,7.017630266666667,5.373285,4.4379463,3.8423586,4.975012766666667,0.0,9.0,4.0,3.0
2016-01-08,7.964045,13.524963,5.2292175,8.295746,5.172918,5.8081427,2.4314566,-2.4586213,3.6800652,4.7378135,2.653392,0,64.0,PM2.5,-0.7031676409586751,0.7110240985428072,0.13718540405660057,0.9905453876091833,0,9.084325,9.204604,11.257178,8.750991333333333,10.674194,11.935822,13.0842285,12.044993,6.3643055,6.876637,7.8119483,6.137953499999999,5.113807,5.373285,4.4379463,4.722385733333334,0.0,0.0,9.0,0.0
2016-01-09,8.787511,13.11673,6.0830383,7.0336914,5.4078946,6.1049714,0.09397545,0.70277566,1.7242743,2.9737158,0.40973923,15,78.0,PM2.5,-0.13254079639417232,-0.9911775508410179,0.1542040475626894,0.988039023376751,1,7.964045,9.084325,9.204604,8.611960333333334,13.524963,10.674194,11.935822,12.438629,5.172918,6.3643055,6.876637,5.6483727,3.6800652,5.113807,5.373285,3.5060488333333333,0.0,0.0,0.0,5.0
2016-01-10,10.029067,14.094635,7.8797913,6.2148438,6.4806304,6.6629033,-0.5343991,0.60569113,1.7538795,2.196741,1.0773948,21,78.0,PM2.5,0.6615977445420302,-0.7498589363452959,0.17117705961019986,0.985240282501282,1,8.787511,7.964045,9.084325,8.926874333333332,13.11673,13.524963,10.674194,13.578776,5.4078946,5.172918,6.3643055,5.687147666666667,1.7242743,3.6800652,5.113807,2.386073,15.0,0.0,0.0,12.0
2016-01-11,10.022061,15.511444,6.9898376,8.521606,5.7127433,6.6695185,-0.78493905,-1.7955738,2.1918535,3.4723415,1.219641,9,76.0,PM2.5,0.40055134116429997,0.916274316507606,0.18809941761179758,0.9821499931752291,0,10.029067,8.787511,7.964045,9.612879666666666,14.094635,13.11673,13.524963,14.240936333333332,6.4806304,5.4078946,5.172918,5.867089433333334,1.7538795,1.7242743,3.6800652,1.8900024333333334,21.0,15.0,0.0,15.0
2016-01-12,9.997608,17.626892,5.1457825,12.48111,4.039408,5.493941,-1.4724158,-2.2035859,3.0700514,4.877523,1.1212668,6,65.0,PM2.5,0.5555771987036413,0.8314649579390672,0.20496611396949532,0.9787690698649216,0,10.022061,10.029067,8.787511,10.016245333333332,15.511444,14.094635,13.11673,15.744323666666668,5.7127433,6.4806304,5.4078946,5.410927233333333,2.1918535,1.7538795,1.7242743,2.3385948,9.0,21.0,15.0,12.0
2016-01-13,11.335704,16.35382,8.853516,7.500305,4.61752,7.194999,1.5305818,-0.86733335,2.2511508,5.3342285,1.1209112,15,75.0,PM2.5,-0.870021344820886,0.4930140561445049,0.22177215755648186,0.975098513039961,0,9.997608,10.022061,10.029067,10.451791,17.626892,15.511444,14.094635,16.497385333333337,4.039408,5.7127433,6.4806304,4.789890433333333,3.0700514,2.1918535,1.7538795,2.5043519,6.0,9.0,21.0,10.0
