date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-01-01,101.0,49,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-02,79.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-03,100.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-04,61.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Pico Rivera #2
2016-01-05,51.0,46,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-06,51.0,44,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-07,53.0,46,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-01-08,64.0,44,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-09,65.0,45,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-10,67.0,49,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Pasadena
2016-01-11,76.0,45,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-12,65.0,41,14,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-13,75.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-14,68.0,47,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-01-15,67.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-01-16,71.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Pico Rivera #2
2016-01-17,100.0,43,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach (South)
