date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-01-01,101.0,59,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-02,83.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-01-03,100.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-04,68.0,58,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-01-05,58.0,51,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-01-06,66.0,50,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-01-07,62.0,54,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-01-08,64.0,50,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-09,78.0,51,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-01-10,78.0,55,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-01-11,76.0,51,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-12,65.0,47,14,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-13,75.0,63,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-14,78.0,53,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-01-15,74.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-01-16,83.0,60,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-01-17,100.0,50,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach (South)
2016-01-18,75.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Glendora
2016-01-19,69.0,59,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Glendora
2016-01-20,76.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-01-21,59.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach (South)
2016-01-22,71.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach (South)
2016-01-23,70.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-01-24,67.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-25,65.0,63,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-26,69.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-27,62.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",NO2,Long Beach-Route 710 Near Road
2016-01-28,75.0,60,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-01-29,76.0,51,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-01-30,70.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-01-31,40.0,58,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,LAX Hastings
2016-02-01,47.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",NO2,Long Beach-Route 710 Near Road
2016-02-02,54.0,47,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-02-03,57.0,59,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-02-04,63.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-02-05,66.0,49,15,"CO,NO2,Ozone,PM2.5,SO2",NO2,Long Beach-Route 710 Near Road
2016-02-06,60.0,62,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-02-07,69.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-02-08,87.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",NO2,Long Beach-Route 710 Near Road
2016-02-09,62.0,56,16,"CO,NO2,Ozone,PM2.5,SO2",NO2,Long Beach-Route 710 Near Road
2016-02-10,72.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-02-11,86.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-02-12,91.0,60,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-02-13,113.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-02-14,96.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach (South)
2016-02-15,81.0,58,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-02-16,64.0,47,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-02-17,60.0,51,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-02-18,49.0,63,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-02-19,61.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-02-20,65.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-02-21,77.0,61,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-02-22,73.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-02-23,70.0,51,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-02-24,55.0,62,17,"CO,NO2,Ozone,PM2.5,SO2",NO2,Pico Rivera #2
2016-02-25,67.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Reseda
2016-02-26,74.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-02-27,90.0,60,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-02-28,115.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-02-29,109.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-01,134.0,56,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
