test_year,model,rmse
2020,Linear Regression,32.55342416797202
2020,Random Forest,26.777334597998912
2020,Gradient Boosting,26.90638957050428
2020,SVR,25.791335745432637
2020,KNN,26.5401482047666
2020,Neural Network,26.52228652968561
2020,Ensemble,27.113566505333733
2021,Linear Regression,25.28782901214337
2021,Random Forest,21.219515271574988
2021,Gradient Boosting,21.741841709472094
2021,SVR,21.60697185445988
2021,KNN,22.985382935876153
2021,Neural Network,22.044847049304504
2021,Ensemble,21.5728012977818
2022,Linear Regression,23.861650098114257
2022,Random Forest,19.947328348574693
2022,Gradient Boosting,19.491313036431094
2022,SVR,19.623678285658062
2022,KNN,21.866184757181543
2022,Neural Network,20.239165178721805
2022,Ensemble,19.16737696059858
2023,Linear Regression,22.673564570425672
2023,Random Forest,20.568269954102384
2023,Gradient Boosting,19.56834470526933
2023,SVR,18.058956787625775
2023,KNN,21.709180684324583
2023,Neural Network,17.715597783251965
2023,Ensemble,17.748662610932552
2024,Linear Regression,24.850755129624297
2024,Random Forest,18.63535759522717
2024,Gradient Boosting,18.156869470144894
2024,SVR,18.407205765637652
2024,KNN,20.352907158928243
2024,Neural Network,18.86240528828426
2024,Ensemble,17.423973658425673
2025,Linear Regression,24.166495547430557
2025,Random Forest,20.915807416224652
2025,Gradient Boosting,20.126341895493884
2025,SVR,19.672646135612435
2025,KNN,22.865366865815506
2025,Neural Network,19.76159528218083
2025,Ensemble,19.424664979147728
